Rel X Fld,Rel Y Fld,Parax X,Parax Y,Real X,Real Y,Rad Dist%,Tan Dist%
-0.6,0.7,1.510461,-1.761866,1.510713,-1.751244,-0.34,-0.31
-0.5,0.7,1.258718,-1.761866,1.258935,-1.752795,-0.34,-0.25
-0.4,0.7,1.006974,-1.761866,1.007152,-1.754063,-0.33,-0.2
-0.3,0.7,0.755231,-1.761866,0.755367,-1.75505,-0.32,-0.15
-0.2,0.7,0.503487,-1.761866,0.503579,-1.755755,-0.32,-0.1
-0.1,0.7,0.251744,-1.761866,0.25179,-1.756178,-0.32,-0.05
0.0,0.7,0.0,-1.761866,0.0,-1.756318,-0.31,0.0
0.1,0.7,-0.251744,-1.761866,-0.25179,-1.756178,-0.32,0.05
0.2,0.7,-0.503487,-1.761866,-0.503579,-1.755755,-0.32,0.1
0.3,0.7,-0.755231,-1.761866,-0.755367,-1.75505,-0.32,0.15
0.4,0.7,-1.006974,-1.761866,-1.007152,-1.754063,-0.33,0.2
0.5,0.7,-1.258718,-1.761866,-1.258935,-1.752795,-0.34,0.25
0.6,0.7,-1.510461,-1.761866,-1.510713,-1.751244,-0.34,0.31
0.7,0.7,-1.762205,-1.761866,-1.762486,-1.749412,-0.35,0.36
0.8,0.7,-2.013948,-1.761866,-2.014254,-1.747298,-0.35,0.42
0.9,0.7,-2.265692,-1.761866,-2.266016,-1.744902,-0.35,0.47
1.0,0.7,-2.517435,-1.761866,-2.51777,-1.742225,-0.36,0.53
-1.0,0.6,2.517435,-1.510171,2.517704,-1.492113,-0.31,-0.53
-0.9,0.6,2.265692,-1.510171,2.265956,-1.494791,-0.31,-0.48
-0.8,0.6,2.013948,-1.510171,2.014201,-1.497188,-0.3,-0.42
-0.7,0.6,1.762205,-1.510171,1.76244,-1.499302,-0.3,-0.36
-0.6,0.6,1.510461,-1.510171,1.510673,-1.501135,-0.29,-0.31
-0.5,0.6,1.258718,-1.510171,1.258902,-1.502686,-0.29,-0.25
-0.4,0.6,1.006974,-1.510171,1.007126,-1.503955,-0.28,-0.2
-0.3,0.6,0.755231,-1.510171,0.755347,-1.504942,-0.27,-0.14
-0.2,0.6,0.503487,-1.510171,0.503566,-1.505647,-0.27,-0.09
-0.1,0.6,0.251744,-1.510171,0.251784,-1.50607,-0.26,-0.05
0.0,0.6,0.0,-1.510171,0.0,-1.506211,-0.26,0.0
0.1,0.6,-0.251744,-1.510171,-0.251784,-1.50607,-0.26,0.05
0.2,0.6,-0.503487,-1.510171,-0.503566,-1.505647,-0.27,0.09
0.3,0.6,-0.755231,-1.510171,-0.755347,-1.504942,-0.27,0.14
0.4,0.6,-1.006974,-1.510171,-1.007126,-1.503955,-0.28,0.2
0.5,0.6,-1.258718,-1.510171,-1.258902,-1.502686,-0.29,0.25
0.6,0.6,-1.510461,-1.510171,-1.510673,-1.501135,-0.29,0.31
0.7,0.6,-1.762205,-1.510171,-1.76244,-1.499302,-0.3,0.36
0.8,0.6,-2.013948,-1.510171,-2.014201,-1.497188,-0.3,0.42
0.9,0.6,-2.265692,-1.510171,-2.265956,-1.494791,-0.31,0.48
1.0,0.6,-2.517435,-1.510171,-2.517704,-1.492113,-0.31,0.53
-1.0,0.5,2.517435,-1.258476,2.517636,-1.241737,-0.26,-0.54
-0.9,0.5,2.265692,-1.258476,2.265895,-1.244416,-0.26,-0.48
-0.8,0.5,2.013948,-1.258476,2.014147,-1.246813,-0.25,-0.42
-0.7,0.5,1.762205,-1.258476,1.762393,-1.248928,-0.25,-0.36
-0.6,0.5,1.510461,-1.258476,1.510633,-1.250762,-0.24,-0.31
-0.5,0.5,1.258718,-1.258476,1.258868,-1.252313,-0.24,-0.25
-0.4,0.5,1.006974,-1.258476,1.007099,-1.253582,-0.23,-0.2
-0.3,0.5,0.755231,-1.258476,0.755327,-1.254569,-0.22,-0.14
-0.2,0.5,0.503487,-1.258476,0.503553,-1.255275,-0.22,-0.09
-0.1,0.5,0.251744,-1.258476,0.251777,-1.255698,-0.21,-0.04
0.0,0.5,0.0,-1.258476,0.0,-1.255839,-0.21,0.0
0.1,0.5,-0.251744,-1.258476,-0.251777,-1.255698,-0.21,0.04
0.2,0.5,-0.503487,-1.258476,-0.503553,-1.255275,-0.22,0.09
0.3,0.5,-0.755231,-1.258476,-0.755327,-1.254569,-0.22,0.14
0.4,0.5,-1.006974,-1.258476,-1.007099,-1.253582,-0.23,0.2
0.5,0.5,-1.258718,-1.258476,-1.258868,-1.252313,-0.24,0.25
0.6,0.5,-1.510461,-1.258476,-1.510633,-1.250762,-0.24,0.31
0.7,0.5,-1.762205,-1.258476,-1.762393,-1.248928,-0.25,0.36
0.8,0.5,-2.013948,-1.258476,-2.014147,-1.246813,-0.25,0.42
0.9,0.5,-2.265692,-1.258476,-2.265895,-1.244416,-0.26,0.48
1.0,0.5,-2.517435,-1.258476,-2.517636,-1.241737,-0.26,0.54
-1.0,0.4,2.517435,-1.00678,2.517565,-0.991096,-0.21,-0.54
-0.9,0.4,2.265692,-1.00678,2.265831,-0.993776,-0.21,-0.48
-0.8,0.4,2.013948,-1.00678,2.014091,-0.996174,-0.2,-0.42
-0.7,0.4,1.762205,-1.00678,1.762343,-0.998289,-0.2,-0.37
-0.6,0.4,1.510461,-1.00678,1.51059,-1.000123,-0.2,-0.31
-0.5,0.4,1.258718,-1.00678,1.258833,-1.001675,-0.19,-0.25
-0.4,0.4,1.006974,-1.00678,1.007071,-1.002945,-0.19,-0.2
-0.3,0.4,0.755231,-1.00678,0.755306,-1.003932,-0.18,-0.14
-0.2,0.4,0.503487,-1.00678,0.503539,-1.004637,-0.17,-0.09
-0.1,0.4,0.251744,-1.00678,0.25177,-1.005061,-0.16,-0.04
0.0,0.4,0.0,-1.00678,0.0,-1.005202,-0.16,0.0
0.1,0.4,-0.251744,-1.00678,-0.25177,-1.005061,-0.16,0.04
0.2,0.4,-0.503487,-1.00678,-0.503539,-1.004637,-0.17,0.09
0.3,0.4,-0.755231,-1.00678,-0.755306,-1.003932,-0.18,0.14
0.4,0.4,-1.006974,-1.00678,-1.007071,-1.002945,-0.19,0.2
0.5,0.4,-1.258718,-1.00678,-1.258833,-1.001675,-0.19,0.25
0.6,0.4,-1.510461,-1.00678,-1.51059,-1.000123,-0.2,0.31
0.7,0.4,-1.762205,-1.00678,-1.762343,-0.998289,-0.2,0.37
0.8,0.4,-2.013948,-1.00678,-2.014091,-0.996174,-0.2,0.42
0.9,0.4,-2.265692,-1.00678,-2.265831,-0.993776,-0.21,0.48
1.0,0.4,-2.517435,-1.00678,-2.517565,-0.991096,-0.21,0.54
-1.0,0.3,2.517435,-0.755085,2.517492,-0.74019,-0.16,-0.54
-0.9,0.3,2.265692,-0.755085,2.265766,-0.742871,-0.16,-0.49
-0.8,0.3,2.013948,-0.755085,2.014032,-0.745269,-0.16,-0.43
-0.7,0.3,1.762205,-0.755085,1.762293,-0.747386,-0.15,-0.37
-0.6,0.3,1.510461,-0.755085,1.510547,-0.74922,-0.15,-0.31
-0.5,0.3,1.258718,-0.755085,1.258797,-0.750772,-0.15,-0.25
-0.4,0.3,1.006974,-0.755085,1.007042,-0.752042,-0.14,-0.2
-0.3,0.3,0.755231,-0.755085,0.755284,-0.75303,-0.13,-0.14
-0.2,0.3,0.503487,-0.755085,0.503524,-0.753735,-0.12,-0.09
-0.1,0.3,0.251744,-0.755085,0.251763,-0.754159,-0.11,-0.04
0.0,0.3,0.0,-0.755085,0.0,-0.7543,-0.1,0.0
0.1,0.3,-0.251744,-0.755085,-0.251763,-0.754159,-0.11,0.04
0.2,0.3,-0.503487,-0.755085,-0.503524,-0.753735,-0.12,0.09
0.3,0.3,-0.755231,-0.755085,-0.755284,-0.75303,-0.13,0.14
0.4,0.3,-1.006974,-0.755085,-1.007042,-0.752042,-0.14,0.2
0.5,0.3,-1.258718,-0.755085,-1.258797,-0.750772,-0.15,0.25
0.6,0.3,-1.510461,-0.755085,-1.510547,-0.74922,-0.15,0.31
0.7,0.3,-1.762205,-0.755085,-1.762293,-0.747386,-0.15,0.37
0.8,0.3,-2.013948,-0.755085,-2.014032,-0.745269,-0.16,0.43
0.9,0.3,-2.265692,-0.755085,-2.265766,-0.742871,-0.16,0.49
1.0,0.3,-2.517435,-0.755085,-2.517492,-0.74019,-0.16,0.54
-1.0,0.2,2.517435,-0.50339,2.517417,-0.48902,-0.11,-0.55
-0.9,0.2,2.265692,-0.50339,2.265698,-0.491701,-0.11,-0.49
-0.8,0.2,2.013948,-0.50339,2.013972,-0.4941,-0.11,-0.43
-0.7,0.2,1.762205,-0.50339,1.76224,-0.496217,-0.11,-0.38
-0.6,0.2,1.510461,-0.50339,1.510502,-0.498051,-0.1,-0.32
-0.5,0.2,1.258718,-0.50339,1.258759,-0.499604,-0.1,-0.26
-0.4,0.2,1.006974,-0.50339,1.007012,-0.500874,-0.1,-0.2
-0.3,0.2,0.755231,-0.50339,0.755262,-0.501862,-0.09,-0.14
-0.2,0.2,0.503487,-0.50339,0.503509,-0.502568,-0.08,-0.08
-0.1,0.2,0.251744,-0.50339,0.251755,-0.502991,-0.06,-0.03
0.0,0.2,0.0,-0.50339,0.0,-0.503132,-0.05,0.0
0.1,0.2,-0.251744,-0.50339,-0.251755,-0.502991,-0.06,0.03
0.2,0.2,-0.503487,-0.50339,-0.503509,-0.502568,-0.08,0.08
0.3,0.2,-0.755231,-0.50339,-0.755262,-0.501862,-0.09,0.14
0.4,0.2,-1.006974,-0.50339,-1.007012,-0.500874,-0.1,0.2
0.5,0.2,-1.258718,-0.50339,-1.258759,-0.499604,-0.1,0.26
0.6,0.2,-1.510461,-0.50339,-1.510502,-0.498051,-0.1,0.32
0.7,0.2,-1.762205,-0.50339,-1.76224,-0.496217,-0.11,0.38
0.8,0.2,-2.013948,-0.50339,-2.013972,-0.4941,-0.11,0.43
0.9,0.2,-2.265692,-0.50339,-2.265698,-0.491701,-0.11,0.49
1.0,0.2,-2.517435,-0.50339,-2.517417,-0.48902,-0.11,0.55
-1.0,0.1,2.517435,-0.251695,2.517339,-0.237583,-0.06,-0.55
-0.9,0.1,2.265692,-0.251695,2.265628,-0.240265,-0.06,-0.5
-0.8,0.1,2.013948,-0.251695,2.01391,-0.242664,-0.06,-0.44
-0.7,0.1,1.762205,-0.251695,1.762186,-0.244782,-0.06,-0.38
-0.6,0.1,1.510461,-0.251695,1.510456,-0.246617,-0.05,-0.33
-0.5,0.1,1.258718,-0.251695,1.25872,-0.24817,-0.05,-0.27
-0.4,0.1,1.006974,-0.251695,1.006981,-0.24944,-0.05,-0.21
-0.3,0.1,0.755231,-0.251695,0.755239,-0.250429,-0.05,-0.15
-0.2,0.1,0.503487,-0.251695,0.503494,-0.251134,-0.04,-0.09
-0.1,0.1,0.251744,-0.251695,0.251747,-0.251558,-0.03,-0.03
0.0,0.1,0.0,-0.251695,0.0,-0.251699,0.0,0.0
0.1,0.1,-0.251744,-0.251695,-0.251747,-0.251558,-0.03,0.03
0.2,0.1,-0.503487,-0.251695,-0.503494,-0.251134,-0.04,0.09
0.3,0.1,-0.755231,-0.251695,-0.755239,-0.250429,-0.05,0.15
0.4,0.1,-1.006974,-0.251695,-1.006981,-0.24944,-0.05,0.21
0.5,0.1,-1.258718,-0.251695,-1.25872,-0.24817,-0.05,0.27
0.6,0.1,-1.510461,-0.251695,-1.510456,-0.246617,-0.05,0.33
0.7,0.1,-1.762205,-0.251695,-1.762186,-0.244782,-0.06,0.38
0.8,0.1,-2.013948,-0.251695,-2.01391,-0.242664,-0.06,0.44
0.9,0.1,-2.265692,-0.251695,-2.265628,-0.240265,-0.06,0.5
1.0,0.1,-2.517435,-0.251695,-2.517339,-0.237583,-0.06,0.55
-1.0,0.0,2.517435,0.0,2.517259,0.014119,-0.01,-0.56
-0.9,0.0,2.265692,0.0,2.265556,0.011437,-0.01,-0.5
-0.8,0.0,2.013948,0.0,2.013846,0.009037,-0.01,-0.45
-0.7,0.0,1.762205,0.0,1.76213,0.006919,0.0,-0.39
-0.6,0.0,1.510461,0.0,1.510408,0.005083,0.0,-0.34
-0.5,0.0,1.258718,0.0,1.258681,0.00353,0.0,-0.28
-0.4,0.0,1.006974,0.0,1.006949,0.002259,0.0,-0.22
-0.3,0.0,0.755231,0.0,0.755215,0.001271,0.0,-0.17
-0.2,0.0,0.503487,0.0,0.503478,0.000565,0.0,-0.11
-0.1,0.0,0.251744,0.0,0.251739,0.000141,0.0,-0.06
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,0.0,-0.251744,0.0,-0.251739,0.000141,0.0,0.06
0.2,0.0,-0.503487,0.0,-0.503478,0.000565,0.0,0.11
0.3,0.0,-0.755231,0.0,-0.755215,0.001271,0.0,0.17
0.4,0.0,-1.006974,0.0,-1.006949,0.002259,0.0,0.22
0.5,0.0,-1.258718,0.0,-1.258681,0.00353,0.0,0.28
0.6,0.0,-1.510461,0.0,-1.510408,0.005083,0.0,0.34
0.7,0.0,-1.762205,0.0,-1.76213,0.006919,0.0,0.39
0.8,0.0,-2.013948,0.0,-2.013846,0.009037,-0.01,0.45
0.9,0.0,-2.265692,0.0,-2.265556,0.011437,-0.01,0.5
1.0,0.0,-2.517435,0.0,-2.517259,0.014119,-0.01,0.56
-1.0,-0.1,2.517435,0.251695,2.517176,0.266087,0.05,-0.57
-0.9,-0.1,2.265692,0.251695,2.265482,0.263405,0.05,-0.51
-0.8,-0.1,2.013948,0.251695,2.01378,0.261004,0.05,-0.46
-0.7,-0.1,1.762205,0.251695,1.762072,0.258886,0.05,-0.4
-0.6,-0.1,1.510461,0.251695,1.510358,0.25705,0.05,-0.35
-0.5,-0.1,1.258718,0.251695,1.258639,0.255496,0.05,-0.29
-0.4,-0.1,1.006974,0.251695,1.006917,0.254225,0.05,-0.24
-0.3,-0.1,0.755231,0.251695,0.75519,0.253237,0.06,-0.19
-0.2,-0.1,0.503487,0.251695,0.503462,0.25253,0.06,-0.13
-0.1,-0.1,0.251744,0.251695,0.251731,0.252107,0.08,-0.08
0.0,-0.1,0.0,0.251695,0.0,0.251965,0.11,0.0
0.1,-0.1,-0.251744,0.251695,-0.251731,0.252107,0.08,0.08
0.2,-0.1,-0.503487,0.251695,-0.503462,0.25253,0.06,0.13
0.3,-0.1,-0.755231,0.251695,-0.75519,0.253237,0.06,0.19
0.4,-0.1,-1.006974,0.251695,-1.006917,0.254225,0.05,0.24
0.5,-0.1,-1.258718,0.251695,-1.258639,0.255496,0.05,0.29
0.6,-0.1,-1.510461,0.251695,-1.510358,0.25705,0.05,0.35
0.7,-0.1,-1.762205,0.251695,-1.762072,0.258886,0.05,0.4
0.8,-0.1,-2.013948,0.251695,-2.01378,0.261004,0.05,0.46
0.9,-0.1,-2.265692,0.251695,-2.265482,0.263405,0.05,0.51
1.0,-0.1,-2.517435,0.251695,-2.517176,0.266087,0.05,0.57
-1.0,-0.2,2.517435,0.50339,2.517091,0.518322,0.1,-0.57
-0.9,-0.2,2.265692,0.50339,2.265405,0.515639,0.1,-0.52
-0.8,-0.2,2.013948,0.50339,2.013712,0.513238,0.1,-0.46
-0.7,-0.2,1.762205,0.50339,1.762013,0.511119,0.11,-0.41
-0.6,-0.2,1.510461,0.50339,1.510307,0.509283,0.11,-0.35
-0.5,-0.2,1.258718,0.50339,1.258597,0.507729,0.11,-0.3
-0.4,-0.2,1.006974,0.50339,1.006883,0.506458,0.11,-0.25
-0.3,-0.2,0.755231,0.50339,0.755165,0.505469,0.12,-0.19
-0.2,-0.2,0.503487,0.50339,0.503445,0.504762,0.13,-0.14
-0.1,-0.2,0.251744,0.50339,0.251723,0.504339,0.15,-0.08
