wavelength (nm), transmission
624, 0.0010276682061627351
625, 0.0016395334236096737
626, 0.0017927410375664365
627, 0.00239542038094398
628, 0.003564437563091216
629, 0.006193055202293074
630, 0.008006804942244816
631, 0.011978147172500453
632, 0.019044903226189014
633, 0.025262354126646347
634, 0.034024541086998816
635, 0.03523137121334807
636, 0.03717280044738791
637, 0.033666247266022964
638, 0.031606248969580086
639, 0.03075559925904181
640, 0.034613741585930224
641, 0.0361776160245153
642, 0.03147976550371023
643, 0.026098190207323402
644, 0.02245660724584919
645, 0.017165698775845506
646, 0.012493016783281963
647, 0.01070337447535108
648, 0.009077814627428404
649, 0.008494398580007001
650, 0.007537896924030729
651, 0.006930556381684383
652, 0.006953871713714754
653, 0.006949359968460689
654, 0.006949160647479191
655, 0.006949144949901953
656, 0.0069473049566428635
657, 0.006958144250956533
658, 0.007010003326266112
659, 0.007567592422392799
660, 0.008606586244131575
661, 0.008726915992728346
662, 0.009379976116097533
663, 0.010196532189347352
664, 0.011690510858088698
665, 0.012804469453508105
666, 0.014592911108255224
667, 0.01605859620411554
668, 0.019193195281564268
669, 0.020991817712044947
670, 0.026308263086364914
671, 0.030031814825676628
672, 0.032982023336398436
673, 0.03912204953130294
674, 0.04832462661844672
675, 0.05403457678824797
676, 0.0666070415110962
677, 0.07167692074835519
678, 0.07789550263602729
679, 0.08658488542408938
680, 0.09092045718335884
681, 0.09458887383736392
682, 0.09881644655317623
683, 0.09938370848607359
684, 0.09780675602957833
685, 0.0958118665377552
686, 0.091302133749535
686.9999999999999, 0.08851545454437071
688, 0.08181712356515125
689, 0.07787464042096515
690, 0.0697402761811925
691, 0.0665123875272684
692, 0.06218960284485742
693, 0.057494189990144884
694, 0.055144330981594214
695, 0.052166395477244665
696, 0.05007350406708899
697, 0.047915486122654505
698, 0.046238787661564196
699, 0.04548166950303467
700, 0.044443876197578946
701, 0.04515334079743116
702, 0.04541137611266688
703, 0.04647033848328408
704, 0.046972929578290135
705, 0.04797247464349308
706, 0.04919131775507268
707, 0.05095077687634064
708, 0.05301926344457786
709, 0.054899767245455644
709.9999999999999, 0.0575120060132599
711, 0.05999699160087446
712, 0.0634916819190765
713, 0.06887548703104529
713.9999999999999, 0.07251304522012347
715, 0.07747267463698915
716, 0.08567065759349224
717, 0.09305659901610874
718, 0.10526003000561523
719, 0.1143340282201546
720, 0.12362839255870894
721, 0.1412687324055626
722, 0.15576165280468723
723, 0.16492723148336474
724, 0.19406539581195315
725, 0.21582324631350014
726, 0.24981369792659902
727, 0.28525411562048686
728, 0.3016685501137929
729, 0.3364951950099129
730, 0.39092195672301755
731, 0.42093263933501135
732, 0.4852213691513385
733, 0.5060618624177476
734, 0.5358563319054384
735, 0.5791716998592532
736, 0.6052482611249207
736.9999999999999, 0.6189249758096491
738, 0.6530957068877488
739, 0.6612321280859169
740, 0.6714630634737275
740.9999999999999, 0.666033429787856
742, 0.6617578339534714
743, 0.653436861213642
744, 0.6336544612410067
744.9999999999999, 0.6180130970477811
745.9999999999999, 0.6011207767808944
747, 0.5782135485476676
748, 0.5655819591222084
748.9999999999999, 0.5442309838583994
749.9999999999999, 0.5319753484468591
751, 0.5243884786455785
752, 0.5072576485645036
752.9999999999999, 0.5016716399766369
753.9999999999999, 0.49457248597252124
755, 0.4909474409785145
756, 0.4891604171946625
