Wavelength,Reflectance
3.6492,97.19478
3.65913,97.1835
3.66905,97.17199
3.67897,97.16027
3.68913,97.14802
3.69904,97.13587
3.70893,97.12353
3.71908,97.11065
3.72896,97.0979
3.7391,97.08463
3.74897,97.0715
3.75909,97.05784
3.76895,97.04436
3.77906,97.03033
3.7889,97.0165
3.79899,97.00213
3.80908,96.98759
3.8189,96.97326
3.82898,96.9584
3.83904,96.94338
3.8491,96.9282
3.8589,96.91327
3.86894,96.89781
3.87898,96.8822
3.88901,96.86645
3.89903,96.85057
3.90905,96.83456
3.91906,96.81843
3.9288,96.80258
3.9388,96.78621
3.94904,96.76929
3.95902,96.75269
3.96899,96.73597
3.97896,96.71915
3.98892,96.70223
3.99887,96.68521
4.00881,96.6681
4.019,96.65045
4.02893,96.63316
4.03885,96.61578
4.04876,96.59832
4.05892,96.58033
4.06882,96.56272
4.07896,96.54458
4.08885,96.52683
4.09872,96.50901
4.10884,96.49067
4.1187,96.47272
4.12881,96.45426
4.1389,96.43575
4.14874,96.41764
4.15882,96.39903
4.16889,96.38037
4.1787,96.36213
4.18876,96.34338
4.19881,96.3246
4.20885,96.30578
4.21888,96.28693
4.22865,96.26853
4.23867,96.24963
4.24867,96.2307
4.25867,96.21175
4.26866,96.19279
4.27865,96.17381
4.28862,96.15482
4.29883,96.13534
4.30879,96.11633
4.31874,96.09732
4.32868,96.07831
4.33861,96.05929
4.34878,96.0398
4.3587,96.0208
4.3686,96.0018
4.37875,95.98234
4.38864,95.96336
4.39876,95.94393
4.40864,95.92499
4.41875,95.90559
4.4286,95.88669
4.43869,95.86734
4.44853,95.84849
4.4586,95.8292
4.46866,95.80994
4.47872,95.79071
4.48852,95.77199
4.49856,95.75283
4.50859,95.73372
4.5186,95.71465
4.52861,95.69562
4.53861,95.67664
4.5486,95.65771
4.55859,95.63883
4.56856,95.62
4.57852,95.60122
4.58847,95.58251
4.59866,95.56339
4.60859,95.54479
4.61852,95.52625
4.62843,95.50778
4.63858,95.48892
4.64848,95.47058
4.65861,95.45186
4.66848,95.43366
4.67859,95.41508
4.68845,95.39703
4.69854,95.37861
4.70861,95.36027
4.71844,95.34245
4.7285,95.32427
4.73855,95.30618
4.74858,95.28818
4.75837,95.27068
4.76839,95.25285
4.7784,95.23511
4.78839,95.21746
4.79838,95.19991
4.80836,95.18245
4.81832,95.16508
4.82852,95.14741
4.83846,95.13024
4.84839,95.11317
4.85832,95.09621
4.86847,95.07894
4.87837,95.06218
4.8885,95.04513
4.89838,95.02859
4.90849,95.01176
4.91835,94.99543
4.92843,94.97882
4.93827,94.96271
4.94833,94.94633
4.95838,94.93007
4.96842,94.91393
4.97845,94.8979
4.98824,94.88237
4.99824,94.86658
5.00853,94.85046
5.01835,94.83517
5.02817,94.81999
5.03799,94.80492
5.04856,94.78881
5.05837,94.77395
5.06819,94.75921
5.078,94.74457
5.08856,94.72894
5.09838,94.71453
5.10818,94.70024
5.11799,94.68606
5.12855,94.67092
5.13836,94.65698
5.14817,94.64315
5.15797,94.62944
5.16853,94.61481
5.17833,94.60135
5.18813,94.588
5.19793,94.57478
5.20848,94.56068
5.21828,94.54771
5.22808,94.53486
5.23787,94.52213
5.24842,94.50857
5.25821,94.4961
5.26801,94.48376
5.27855,94.47061
5.28834,94.45854
5.29813,94.44659
5.30792,94.43477
5.31845,94.42218
5.32824,94.41063
5.33802,94.39921
5.34781,94.38792
5.35834,94.37591
5.36812,94.36489
5.3779,94.35401
5.38843,94.34244
5.39821,94.33184
5.40799,94.32136
5.41776,94.31103
5.42829,94.30005
5.43806,94.29
5.44783,94.28008
5.45836,94.26955
5.46813,94.25992
5.47789,94.25043
5.48841,94.24036
5.49818,94.23115
5.50794,94.22208
5.51771,94.21315
5.52822,94.2037
5.53798,94.19506
5.54774,94.18656
5.55825,94.17757
5.56801,94.16937
5.57777,94.16131
5.58827,94.15278
5.59803,94.14502
5.60778,94.13739
5.61828,94.12934
5.62803,94.12202
5.63778,94.11483
5.64828,94.10726
5.65803,94.10037
5.66777,94.09363
5.67827,94.08653
5.68801,94.08009
5.69775,94.0738
5.70825,94.06718
5.71799,94.06118
5.72772,94.05533
5.73821,94.04919
5.74795,94.04364
5.75768,94.03824
5.76817,94.03259
5.7779,94.02748
5.78763,94.02253
5.79811,94.01736
5.80784,94.0127
5.81757,94.0082
5.82804,94.00351
5.83777,93.9993
5.84749,93.99525
5.85796,93.99104
5.86768,93.98729
5.87815,93.98341
5.88787,93.97996
5.89759,93.97665
5.90805,93.97326
5.91777,93.97026
5.92748,93.9674
5.93794,93.96449
5.94765,93.96193
5.95811,93.95935
5.96782,93.9571
5.97753,93.95499
5.98798,93.95289
5.99769,93.95108
6.00814,93.9493
6.01784,93.9478
6.02754,93.94644
6.03799,93.94514
6.04769,93.94408
6.05738,93.94317
6.06783,93.94234
6.07752,93.94173
6.08796,93.94123
6.09765,93.94091
6.10809,93.94073
6.11778,93.94071
6.12747,93.94083
6.1379,93.94112
6.14759,93.94154
6.15802,93.94215
6.1677,93.94286
6.17738,93.94371
6.18781,93.94479
6.19749,93.94594
6.20791,93.94733
6.21759,93.94876
6.22801,93.95047
6.23768,93.9522
6.24735,93.95406
6.25777,93.95623
6.26744,93.95838
6.27785,93.96086
6.28752,93.9633
6.29793,93.96608
6.30759,93.9688
6.31726,93.97167
6.32766,93.9749
6.33732,93.97805
6.34773,93.98158
6.35738,93.98501
6.36778,93.98885
6.37744,93.99255
6.38784,93.99669
6.39749,94.00067
6.40788,94.0051
6.41753,94.00936
6.42718,94.01375
6.43757,94.01862
6.44722,94.02328
6.4576,94.02844
6.46725,94.03337
6.47763,94.03883
6.48727,94.04403
6.49765,94.04977
6.50729,94.05523
6.51767,94.06126
6.5273,94.06698
6.53767,94.07329
6.54731,94.07928
6.55768,94.08587
6.56731,94.09212
6.57768,94.09899
6.5873,94.10549
6.59767,94.11264
6.60729,94.1194
6.61765,94.12681
6.62727,94.13382
6.63763,94.14151
6.64725,94.14877
6.65761,94.15673
6.66722,94.16423
6.67757,94.17245
6.68719,94.1802
6.69754,94.18868
6.70715,94.19668
6.71749,94.20542
6.7271,94.21365
6.73744,94.22265
6.74705,94.23112
6.75739,94.24037
6.76699,94.24907
6.77733,94.25857
6.78766,94.2682
6.79726,94.27725
6.80759,94.28713
6.81718,94.29641
6.82751,94.30652
6.83711,94.31603
6.84743,94.32638
6.85702,94.33611
6.86734,94.3467
6.87693,94.35665
6.88725,94.36747
6.89757,94.37842
6.90715,94.38869
6.91746,94.39986
6.92704,94.41034
6.93735,94.42174
6.94693,94.43243
6.95723,94.44405
6.96754,94.45579
6.97711,94.46678
6.98742,94.47874
6.99698,94.48993
7.00728,94.5021
7.01685,94.51349
7.02714,94.52587
7.03744,94.53835
7.047,94.55004
7.05729,94.56273
7.06685,94.5746
7.07714,94.58749
7.08743,94.60048
7.09698,94.61264
7.10726,94.62583
7.11681,94.63816
7.12709,94.65154
7.13737,94.66502
7.14692,94.67763
7.15719,94.69129
7.16747,94.70505
7.17701,94.71792
7.18728,94.73186
7.19681,94.74489
7.20708,94.75901
7.21735,94.77323
7.22688,94.7865
7.23714,94.80089
7.2474,94.81536
7.25693,94.82888
7.26719,94.84352
7.27671,94.85719
7.28697,94.87199
7.29722,94.88688
7.30674,94.90077
7.31699,94.91582
7.32724,94.93094
7.33675,94.94506
7.34699,94.96033
7.35724,94.97568
7.36675,94.99001
7.37698,95.00551
7.38722,95.02108
7.39673,95.0356
7.40696,95.05132
7.41719,95.0671
7.42669,95.08182
7.43692,95.09774
7.44715,95.11373
7.45664,95.12863
7.46687,95.14475
7.47709,95.16093
7.48731,95.17717
7.4968,95.19231
7.50701,95.20868
7.51723,95.2251
7.52671,95.24041
7.53692,95.25695
7.54713,95.27355
7.55661,95.28901
7.56682,95.2974
7.57702,95.30579
7.58723,95.31419
7.5967,95.32235
7.6069,95.3306
7.61709,95.3389
7.62656,95.34709
7.63675,95.35533
7.64695,95.36362
7.65714,95.37193
7.6666,95.38018
7.67678,95.38845
7.68697,95.39675
7.69715,95.40507
7.7066,95.41335
7.71678,95.42164
7.72696,95.42996
7.73714,95.43829
7.74658,95.44659
7.75676,95.4549
7.76693,95.46322
7.77709,95.47156
7.78653,95.47988
7.7967,95.48819
7.80686,95.49652
7.81702,95.50486
7.82646,95.51319
7.83661,95.52151
7.84677,95.52984
7.85692,95.53818
7.86707,95.54653
7.8765,95.55488
7.88665,95.5632
7.89679,95.57154
7.90694,95.57988
7.91636,95.58823
7.9265,95.59655
7.93664,95.60488
7.94677,95.61322
7.95691,95.62156
7.96704,95.6299
7.97645,95.63826
7.98658,95.64658
7.9967,95.65491
8.00683,95.66324
8.01695,95.67157
8.02635,95.67993
8.03647,95.68823
8.04659,95.69655
8.05671,95.70486
8.06682,95.71317
8.07693,95.72149
8.08632,95.72983
8.09643,95.73812
8.10654,95.74641
8.11664,95.7547
8.12675,95.76299
8.13685,95.77128
8.14694,95.77957
8.15632,95.78789
8.16642,95.79615
8.17651,95.80441
8.1866,95.81267
8.19669,95.82092
8.20678,95.82917
8.21686,95.83742
8.22623,95.84571
8.23631,95.85393
8.24639,95.86214
8.25646,95.87035
8.26654,95.87856
8.27661,95.88676
8.28669,95.89495
8.29676,95.90314
8.30682,95.91132
8.31617,95.91956
8.32623,95.92771
8.3363,95.93586
8.34636,95.944
8.35641,95.95213
8.36647,95.96026
8.37652,95.96838
8.38658,95.97649
8.39663,95.98459
8.40667,95.99268
8.41672,96.00077
8.42676,96.00884
8.43609,96.01698
8.44613,96.02502
8.45617,96.03305
8.4662,96.04108
8.47624,96.04909
8.48627,96.05709
8.4963,96.06509
8.50633,96.07307
8.51635,96.08104
8.52638,96.089
8.5364,96.09695
8.54642,96.10488
8.55644,96.11281
8.56645,96.12072
8.57646,96.12862
8.58648,96.13651
8.59649,96.14438
8.60649,96.15224
8.6165,96.16009
8.6265,96.16792
8.6365,96.17575
8.6465,96.18355
8.6565,96.19135
8.6665,96.19913
8.67649,96.20689
8.68648,96.21464
8.69647,96.22237
8.70646,96.23009
8.71644,96.2378
8.72642,96.24549
8.7364,96.25316
8.74638,96.26082
8.75636,96.26846
8.76633,96.27609
8.7763,96.28369
8.78627,96.29129
8.79624,96.29886
8.80621,96.30642
8.81617,96.31396
8.82613,96.32149
8.83609,96.32899
8.84605,96.33648
8.85601,96.34395
8.86596,96.3514
8.87591,96.35884
8.88586,96.36625
8.89652,96.37354
8.90646,96.38093
8.91641,96.38829
8.92635,96.39564
8.93628,96.40297
8.94622,96.41028
8.95615,96.41757
8.96609,96.42484
8.97602,96.43209
8.98594,96.43932
8.99587,96.44653
9.00579,96.45371
9.01642,96.46076
9.02634,96.46792
9.03626,96.47505
9.04617,96.48216
9.05608,96.48925
9.06599,96.49632
9.0759,96.50336
9.08581,96.51039
9.09571,96.51739
9.10632,96.52424
9.11622,96.53121
9.12612,96.53815
9.13601,96.54507
9.1459,96.55196
9.15579,96.55883
9.16568,96.56568
9.17627,96.57238
9.18616,96.57919
9.19604,96.58597
9.20592,96.59273
9.2158,96.59947
9.22567,96.60618
9.23625,96.61273
9.24612,96.6194
9.25599,96.62605
9.26585,96.63266
9.27572,96.63926
9.28628,96.64569
9.29614,96.65224
9.306,96.65877
9.31585,96.66526
9.32571,96.67173
9.33626,96.67805
9.34611,96.68447
9.35595,96.69087
9.3658,96.69724
9.37564,96.70358
9.38618,96.70977
9.39602,96.71606
9.40585,96.72233
9.41568,96.72858
9.42621,96.73465
9.43604,96.74085
9.44587,96.74701
9.45569,96.75315
9.46551,96.75926
9.47603,96.7652
9.48585,96.77126
9.49566,96.77729
9.50617,96.78315
9.51598,96.78905
9.52579,96.79378
9.53559,96.79758
9.54609,96.80134
9.55589,96.80479
9.56569,96.80911
9.57549,96.81398
9.58598,96.81812
9.59577,96.82223
9.60556,96.82724
9.61604,96.8307
9.62583,96.83475
9.63561,96.83907
9.64608,96.84319
9.65586,96.84785
9.66563,96.852
9.67541,96.85525
9.68587,96.85906
9.69564,96.86352
9.7054,96.86607
9.71586,96.87022
9.72562,96.87426
9.73538,96.87772
9.74583,96.88061
9.75558,96.88495
9.76603,96.88873
9.77578,96.89237
9.78552,96.89541
9.79596,96.89874
9.8057,96.90262
9.81544,96.90656
9.82587,96.90966
9.83561,96.91351
9.84534,96.91652
9.85576,96.92009
9.86549,96.92374
9.87591,96.9267
9.88563,96.93041
9.89535,96.93389
9.90576,96.93701
9.91547,96.93963
9.92588,96.943
9.93559,96.9449
9.94529,96.94686
9.95569,96.94886
9.96539,96.95199
9.97578,96.9539
9.98548,96.95678
9.99587,96.95973
10.00556,96.96292
10.01525,96.96509
10.02563,96.96718
10.03531,96.97008
10.04569,96.97248
10.05537,96.97549
10.06573,96.97713
10.07541,96.9794
10.08577,96.98102
10.09544,96.98282
10.1058,96.98523
10.11546,96.9879
10.12582,96.9893
10.13548,96.99114
10.14513,96.99361
10.15548,96.99598
10.16513,96.99846
10.17547,97.00036
10.18512,97.00284
10.19545,97.0041
10.20578,97.00588
10.21542,97.00777
10.22575,97.00948
10.23538,97.01122
10.2457,97.0131
10.25533,97.01526
10.26564,97.01677
10.27527,97.01802
10.28558,97.02007
10.2952,97.02198
10.3055,97.02348
10.31511,97.02448
10.32541,97.02648
10.33571,97.02781
10.34531,97.02864
10.3556,97.02985
10.36521,97.03152
10.37549,97.03247
10.38509,97.033
10.39536,97.03372
10.40564,97.03488
10.41523,97.03593
10.4255,97.03676
10.43508,97.03866
10.44535,97.04033
10.45561,97.04066
10.46519,97.04166
10.47544,97.04267
10.48501,97.04428
10.49526,97.04537
10.50551,97.04604
10.51507,97.04738
10.52532,97.04881
10.53556,97.05041
10.54511,97.05075
10.55534,97.05158
10.56558,97.05244
10.57512,97.05396
10.58535,97.0553
10.59489,97.05624
10.60511,97.0572
10.61533,97.05845
10.62554,97.05974
10.63507,97.06093
10.64528,97.06166
10.65548,97.06265
10.66501,97.06337
10.67521,97.0647
10.6854,97.066
10.69492,97.06699
10.70511,97.06792
10.7153,97.06923
10.72548,97.07006
10.73499,97.07132
10.74517,97.07147
10.75534,97.07216
10.76484,97.07306
10.77501,97.07389
10.78518,97.07488
10.79534,97.07616
10.80483,97.07692
10.81499,97.07778
10.82515,97.07905
10.8353,97.07982
10.84477,97.08101
10.85492,97.08161
10.86507,97.08212
10.87521,97.08311
10.88535,97.08424
10.89481,97.08551
10.90494,97.08625
10.91507,97.08681
10.9252,97.08726
10.93532,97.08754
10.94477,97.08842
10.95489,97.08926
10.965,97.08924
10.97511,97.08954
10.98522,97.09064
10.99533,97.0908
11.00476,97.09108
11.01486,97.09225
11.02496,97.09338
11.03505,97.09446
11.04514,97.0955
11.05523,97.09649
11.06465,97.09755
11.07473,97.09846
11.08481,97.09932
11.09488,97.10014
11.10496,97.10092
11.11503,97.10165
11.12509,97.10234
11.13516,97.10298
11.14522,97.10358
11.15461,97.10423
11.16466,97.10475
11.17472,97.10522
11.18476,97.10564
11.19481,97.10602
11.20485,97.10636
11.21489,97.10666
11.22493,97.1069
11.23496,97.10711
11.245,97.10727
11.25502,97.10739
11.26505,97.10746
11.27507,97.10749
11.28509,97.10748
11.2951,97.10742
11.30511,97.10731
11.31512,97.10717
11.32513,97.10698
11.33513,97.10674
11.34513,97.10646
11.35513,97.10614
11.36512,97.10578
11.37511,97.10537
11.3851,97.10491
11.39509,97.10441
11.40507,97.10387
11.41504,97.10329
11.42502,97.10266
11.43499,97.10198
11.44496,97.10127
11.45492,97.10051
11.46489,97.0997
11.47485,97.09886
11.4848,97.09797
11.49475,97.09703
11.5047,97.09605
11.51465,97.09503
11.52459,97.09396
11.53453,97.09286
11.54447,97.0917
11.55441,97.09051
11.565,97.0892
11.57493,97.08791
11.58485,97.08658
11.59477,97.08521
11.60469,97.08379
11.6146,97.08233
11.62451,97.08083
11.63442,97.07929
11.64433,97.0777
11.65489,97.076
11.66479,97.07432
11.67468,97.0726
11.68458,97.07084
11.69446,97.06903
11.70435,97.06718
11.71489,97.06523
11.72477,97.06329
11.73465,97.06131
11.74452,97.05929
11.75439,97.05722
11.76425,97.05511
11.77478,97.0529
11.78463,97.0507
11.79449,97.04846
11.80434,97.04618
11.81485,97.0438
11.8247,97.04143
11.83454,97.03901
11.84438,97.03656
11.85422,97.03406
11.8647,97.03147
11.87453,97.02888
11.88436,97.02626
11.89418,97.02359
11.90466,97.02083
11.91448,97.01807
11.92429,97.01527
11.93475,97.01238
11.94456,97.0095
11.95436,97.00657
11.96416,97.0036
11.97461,97.00055
11.98441,96.99749
11.9942,96.99439
12.00464,96.99121
12.01442,96.98803
12.0242,96.9848
12.03463,96.9815
12.0444,96.97819
12.05417,96.97483
12.06459,96.9714
12.07435,96.96797
12.08411,96.96449
12.09452,96.96093
12.10427,96.95737
12.11467,96.95373
12.12441,96.95008
12.13416,96.94639
12.14455,96.94263
12.15428,96.93886
12.16466,96.93501
12.17439,96.93115
12.18412,96.92725
12.19449,96.92329
12.20421,96.91931
12.21457,96.91526
12.22428,96.91119
12.23464,96.90706
12.24434,96.90291
12.25404,96.89872
12.26439,96.89447
12.27408,96.8902
12.28442,96.88586
12.2941,96.88151
12.30443,96.8771
12.31411,96.87269
12.32444,96.86827
12.33411,96.86385
12.34443,96.85942
12.35409,96.85499
12.3644,96.85055
12.37406,96.84611
12.38436,96.84166
12.39401,96.8372
12.4043,96.83274
12.41395,96.82828
12.42423,96.8238
12.43451,96.81933
12.44415,96.81485
12.45442,96.81036
12.46405,96.80586
12.47432,96.80137
12.48394,96.79686
12.4942,96.79235
12.50445,96.78784
12.51406,96.78332
12.52431,96.77879
12.53391,96.77426
12.54415,96.76973
12.55438,96.76519
12.56398,96.76064
12.5742,96.75609
12.58443,96.75154
12.59401,96.74697
12.60423,96.7424
12.6138,96.73783
12.62401,96.73325
12.63421,96.72867
12.64378,96.72408
12.65397,96.71949
12.66417,96.7149
12.67436,96.7103
12.6839,96.70568
12.69409,96.70107
12.70426,96.69646
12.7138,96.69182
12.72397,96.6872
12.73414,96.68257
12.7443,96.67794
12.75382,96.67328
12.76398,96.66864
12.77413,96.66399
12.78427,96.65934
12.79378,96.65466
12.80392,96.65
