Pixel,Wavelength
-125.05045300751112,0.897
-124.5746300758611,0.898
-124.10024619149446,0.899
-123.6272942372,0.9
-123.15576713857223,0.901
-122.68565786365555,0.902
-122.21695942268889,0.903
-121.74966486772776,0.904
-121.28376729238335,0.905
-120.81925983152779,0.906
-120.35613566096112,0.907
-119.89438799714442,0.908
-119.43401009687221,0.909
-118.97499525701112,0.91
-118.51733681421112,0.911
-118.06102814457778,0.912
-117.60606266345556,0.913
-117.15243382506667,0.914
-116.70013512228333,0.915
-116.24916008635556,0.916
-115.79950228659999,0.917
-115.35115533013888,0.918
-114.90411286166113,0.919
-114.45836856309444,0.92
-114.0139161534111,0.921
-113.57074938829446,0.922
-113.12886205992778,0.923
-112.68824799671113,0.924
-112.24890106301112,0.925
-111.81081515890554,0.926
-111.37398421992776,0.927
-110.93840221681666,0.928
-110.50406315527778,0.929
-110.07096107571111,0.93
-109.63909005300555,0.931
-109.20844419626111,0.932
-108.77901764856112,0.933
-108.35080458673889,0.934
-107.92379922114444,0.935
-107.49799579538333,0.936
-107.07338858611666,0.937
-106.64997190282777,0.9380000000000001
-106.22774008754443,0.9390000000000001
-105.80668751469445,0.9400000000000001
-105.38680859081666,0.9410000000000001
-104.96809775435557,0.9420000000000001
-104.55054947543888,0.9430000000000001
-104.13415825566668,0.9440000000000001
-103.71891862790557,0.9450000000000001
-103.30482515601666,0.9460000000000001
-102.89187243470556,0.9470000000000001
-102.48005508927777,0.9480000000000001
-102.06936777544999,0.9490000000000001
-101.65980517908889,0.9500000000000001
-101.25136201608333,0.9510000000000001
-100.84403303205555,0.9520000000000001
-100.4378130022389,0.9530000000000001
-100.0326967312,0.9540000000000001
-99.62867905268334,0.9550000000000001
-99.22575482940556,0.9560000000000001
-98.82391895284444,0.9570000000000001
-98.42316634306111,0.9580000000000001
-98.02349194849444,0.9590000000000001
-97.62489074576666,0.9600000000000001
-97.22735773949445,0.9610000000000001
-96.83088796210001,0.9620000000000001
-96.43547647363334,0.9630000000000001
-96.04111836157777,0.9640000000000001
-95.6478087406389,0.9650000000000001
-95.25554275261112,0.9660000000000001
-94.86431556615554,0.9670000000000001
-94.47412237663889,0.9680000000000001
-94.08495840593889,0.9690000000000001
-93.69681890228333,0.9700000000000001
-93.30969914006113,0.9710000000000001
-92.92359441966111,0.9720000000000001
-92.53850006727778,0.9730000000000001
-92.15441143475,0.9740000000000001
-91.7713238994,0.9750000000000001
-91.38923286385,0.976
-91.00813375584444,0.9770000000000001
-90.6280220281111,0.978
-90.24889315817778,0.9790000000000001
-89.8707426482111,0.98
-89.49356602484445,0.9810000000000001
-89.11735883902777,0.982
-88.74211666587222,0.9830000000000001
-88.36783510447223,0.984
-87.99450977775555,0.9850000000000001
-87.6221363323389,0.986
-87.25071043835,0.9870000000000001
-86.88022778929445,0.988
-86.51068410188333,0.9890000000000001
-86.14207511590557,0.99
-85.77439659403889,0.9910000000000001
-85.40764432173889,0.992
-85.04181410707777,0.9930000000000001
-84.67690178057778,0.994
-84.31290319508334,0.9950000000000001
-83.94981422563889,0.996
-83.58763076929444,0.9970000000000001
-83.22634874498888,0.998
-82.86596409340557,0.9990000000000001
-82.50647277684999,1.0
-82.14787077907778,1.0010000000000001
-81.79015410516666,1.002
-81.43331878139445,1.0030000000000001
-81.07736085508333,1.004
-80.72227639448334,1.0050000000000001
-80.36806148861666,1.006
-80.01471224715,1.0070000000000001
-79.66222480027778,1.008
-79.31059529857221,1.0090000000000001
-78.95981991286666,1.01
-78.60989483410555,1.0110000000000001
-78.26081627325,1.012
-77.91258046109999,1.0130000000000001
-77.56518364823333,1.014
-77.21862210481667,1.0150000000000001
-76.87289212052222,1.016
-76.52799000438888,1.0170000000000001
-76.18391208469444,1.018
-75.84065470884444,1.0190000000000001
-75.49821424324999,1.02
-75.15658707319443,1.0210000000000001
-74.81576960273334,1.022
-74.47575825456666,1.0230000000000001
-74.13654946991667,1.024
-73.79813970841111,1.0250000000000001
-73.46052544799444,1.026
-73.12370318475557,1.0270000000000001
-72.78766943288889,1.028
-72.45242072452223,1.0290000000000001
-72.1179536096111,1.03
-71.78426465586112,1.0310000000000001
-71.45135044859444,1.032
-71.11920759062778,1.0330000000000001
-70.7878327021889,1.034
-70.4572224207889,1.0350000000000001
-70.12737340113333,1.036
-69.798282315,1.0370000000000001
-69.46994585112222,1.038
-69.14236071513332,1.0390000000000001
-68.8155236293889,1.04
-68.48943133292778,1.041
-68.16408058133888,1.042
-67.83946814667223,1.0430000000000001
-67.51559081730001,1.044
-67.19244539788333,1.045
-66.87002870921111,1.046
-66.54833758812222,1.0470000000000002
-66.22736888742777,1.048
